sample_id,split,overlap_ratio,reference_type,reference_path,mixed_cer_real,separated_cer_real,cleaned_cer_real,oracle_route_real,router_v2_route,best_systematic_router,best_systematic_router_route,systematic_router_cer_real,router_v2_cer_real,oracle_cer_real,evidence_type,mixed_cer_normalized,separated_cer_normalized,cleaned_cer_normalized,oracle_route_normalized,router_v2_cer_normalized,systematic_router_cer_normalized,oracle_cer_normalized
audio_depth_stress_v1_0001,test,0.0,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_01_silver_reference.json,0.71875,0.71875,0.71875,mixed,mixed,hybrid_late_fusion_v2,mixed,0.71875,0.71875,0.71875,real_whisper_asr_against_synthetic_silver_reference,0.71875,0.71875,0.71875,mixed,0.71875,0.71875,0.71875
audio_depth_stress_v1_0002,dev,0.1,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_02_silver_reference.json,0.769231,0.769231,0.769231,mixed,mixed,hybrid_late_fusion_v2,mixed,0.769231,0.769231,0.769231,real_whisper_asr_against_synthetic_silver_reference,0.769231,0.769231,0.769231,mixed,0.769231,0.769231,0.769231
audio_depth_stress_v1_0003,train,0.2,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_03_silver_reference.json,0.75,1.3,1.3,mixed,mixed,hybrid_late_fusion_v2,mixed,0.75,0.75,0.75,real_whisper_asr_against_synthetic_silver_reference,0.75,1.3,1.3,mixed,0.75,0.75,0.75
audio_depth_stress_v1_0004,train,0.3,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_04_silver_reference.json,0.777778,0.777778,0.777778,mixed,mixed,hybrid_late_fusion_v2,mixed,0.777778,0.777778,0.777778,real_whisper_asr_against_synthetic_silver_reference,0.777778,0.777778,0.777778,mixed,0.777778,0.777778,0.777778
audio_depth_stress_v1_0005,train,0.4,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_05_silver_reference.json,0.8,0.8,0.8,mixed,mixed,hybrid_late_fusion_v2,mixed,0.8,0.8,0.8,real_whisper_asr_against_synthetic_silver_reference,0.8,0.8,0.8,mixed,0.8,0.8,0.8
audio_depth_stress_v1_0006,test,0.5,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_06_silver_reference.json,0.904762,0.904762,0.904762,mixed,mixed,hybrid_late_fusion_v2,mixed,0.904762,0.904762,0.904762,real_whisper_asr_against_synthetic_silver_reference,0.904762,0.904762,0.904762,mixed,0.904762,0.904762,0.904762
audio_depth_stress_v1_0007,dev,0.6,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_07_silver_reference.json,0.5,0.666667,0.666667,mixed,mixed,hybrid_late_fusion_v2,mixed,0.5,0.5,0.5,real_whisper_asr_against_synthetic_silver_reference,0.5,0.666667,0.666667,mixed,0.5,0.5,0.5
audio_depth_stress_v1_0008,train,0.7,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_08_silver_reference.json,0.85,0.9,0.9,mixed,separated,hybrid_late_fusion_v2,separated,0.9,0.9,0.85,real_whisper_asr_against_synthetic_silver_reference,0.85,0.9,0.9,mixed,0.9,0.9,0.85
audio_depth_stress_v1_0009,train,0.8,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_09_silver_reference.json,1.0,0.714286,0.714286,separated,separated,hybrid_late_fusion_v2,separated,0.714286,0.714286,0.714286,real_whisper_asr_against_synthetic_silver_reference,1.0,0.714286,0.714286,separated,0.714286,0.714286,0.714286
audio_depth_stress_v1_0010,train,0.9,silver_reference,resources/synthetic_overlap_v2/references/SyntheticNoOverlap_dev_10_silver_reference.json,0.709677,0.354839,0.354839,separated,separated,hybrid_late_fusion_v2,separated,0.354839,0.354839,0.354839,real_whisper_asr_against_synthetic_silver_reference,0.709677,0.354839,0.354839,separated,0.354839,0.354839,0.354839
